2019	𞥒𞥐𞥑𞥙
aaɓnotonoo	𞤢𞥄𞤩𞤲𞤮𞤼𞤮𞤲𞤮𞥅
ajaande	𞤢𞤶𞤢𞥄𞤲'𞤣𞤫
alaa	𞤢𞤤𞤢𞥄
alaanaa	𞤢𞤤𞤢𞥄𞤲𞤢𞥄
am	𞤢𞤥
ammbaasduuji	𞤢𞤥𞤦𞤢𞥄𞤧𞤣𞤵𞥅𞤶𞤭
anndi	𞤢𞤲𞤣𞤭
anndunooɓe	𞤢𞤲𞤣𞤵𞤲𞤮𞥅𞤩𞤫
arde	𞤢𞤪𞤣𞤫
ardiiɓe	𞤢𞤪𞤣𞤭𞥅𞤩𞤫
aroowo	𞤢𞤪𞤮𞥅𞤱𞤮
aɗa	𞤢𞤯𞤢
baawɗo	𞤦𞤢𞥄𞤱𞤯𞤮
ballal	𞤦𞤢𞤤𞥆𞤢𞤤
baɗoowo	𞤦𞤢𞤯𞤮𞥅𞤱𞤮
baɗɗo	𞤦𞤢𞤯𞥆𞤮
boni	𞤦𞤮𞤲𞤭
caggal	𞤷𞤢𞤺𞥆𞤢𞤤
ceɓor-ɗen	𞤷𞤫𞤩𞤮𞤪-𞤯𞤫𞤲
ciifi	𞤷𞤭𞥅𞤬𞤭
cikkaani	𞤷𞤭𞤳𞥆𞤢𞥄𞤲𞤭
cikku-ɗen	𞤷𞤭𞤳𞥆𞤵-𞤯𞤫𞤲
citinen	𞤷𞤭𞤼𞤭𞤲𞤫𞤲
daande	𞤣𞤢𞥄𞤲'𞤣𞤫
dadiiɓe	𞤣𞤢𞤣𞤭𞥅𞤩𞤫
daña	𞤣𞤢𞤻𞤢
dee	𞤣𞤫𞥅
defaa	𞤣𞤫𞤬𞤢𞥄
deftere	𞤣𞤫𞤬𞤼𞤫𞤪𞤫
diɗɗal	𞤣𞤭𞤯𞥆𞤢𞤤
doggol	𞤣𞤮𞤺𞥆𞤮𞤤
doole	𞤣𞤮𞥅𞤤𞤫
dukaa	𞤣𞤵𞤳𞤢𞥄
e	𞤫
ella	𞤫𞤤𞥆𞤢
en	𞤫𞤲
ene	𞤫𞤲𞤫
enen	𞤫𞤲𞤫𞤲
etaade	𞤫𞤼𞤢𞥄𞤣𞤫
eɓe	𞤫𞤩𞤫
eɗen	𞤫𞤯𞤫𞤲
faabo	𞤬𞤢𞥄𞤦𞤮
faamde	𞤬𞤢𞥄𞤥𞤣𞤫
fayannde	𞤬𞤢𞤴𞤢𞤲𞤣𞤫
fitinaaji	𞤬𞤭𞤼𞤭𞤲𞤢𞥄𞤶𞤭
fiyii	𞤬𞤭𞤴𞤭𞥅
fiytaade	𞤬𞤭𞤴𞤼𞤢𞥄𞤣𞤫
fof	𞤬𞤮𞤬
fulɓe	𞤬𞤵𞤤𞤩𞤫
fuɗnaange	𞤬𞤵𞤯𞤲𞤢𞥄𞤲'𞤺𞤫
gaañiiɓe	𞤺𞤢𞥄𞤻𞤭𞥅𞤩𞤫
gadanol	𞤺𞤢𞤣𞤢𞤲𞤮𞤤
galle	𞤺𞤢𞤤𞥆𞤫
galleeji	𞤺𞤢𞤤𞥆𞤫𞥅𞤶𞤭
golle	𞤺𞤮𞤤𞥆𞤫
goonga	𞤺𞤮𞥅𞤲'𞤺𞤢
gooto	𞤺𞤮𞥅𞤼𞤮
goɗɗi	𞤺𞤮𞤯𞥆𞤭
gumɗo	𞤺𞤵𞤥𞤯𞤮
haa	𞤸𞤢𞥄
haajii	𞤸𞤢𞥄𞤶𞤭𞥅
haajuuji	𞤸𞤢𞥄𞤶𞤵𞥅𞤶𞤭
haal	𞤸𞤢𞥄𞤤
haala	𞤸𞤢𞥄𞤤𞤢
haalaa	𞤸𞤢𞥄𞤤𞤢𞥄
haalaani	𞤸𞤢𞥄𞤤𞤢𞥄𞤲𞤭
haaletee	𞤸𞤢𞥄𞤤𞤫𞤼𞤫𞥅
haali	𞤸𞤢𞥄𞤤𞤭
habrude	𞤸𞤢𞤦𞤪𞤵𞤣𞤫
hakke	𞤸𞤢𞤳𞥆𞤫
hare	𞤸𞤢𞤪𞤫
hattan	𞤸𞤢𞤼𞥆𞤢𞤲
hattanaano	𞤸𞤢𞤼𞥆𞤢𞤲𞤢𞥄𞤲𞤮
hay	𞤸𞤢𞤴
haɗir	𞤸𞤢𞤯𞤭𞤪
heen	𞤸𞤫𞥅𞤲
heewaani	𞤸𞤫𞥅𞤱𞤢𞥄𞤲𞤭
hiirnaange	𞤸𞤭𞥅𞤪𞤲𞤢𞥄𞤲'𞤺𞤫
hulata	𞤸𞤵𞤤𞤢𞤼𞤢
humpito	𞤸𞤵𞤥𞤨𞤭𞤼𞤮
hunuko	𞤸𞤵𞤲𞤵𞤳𞤮
huutoraade	𞤸𞤵𞥅𞤼𞤮𞤪𞤢𞥄𞤣𞤫
innitortooɓe	𞤭𞤲𞥆𞤭𞤼𞤮𞤪𞤼𞤮𞥅𞤩𞤫
jaabawol	𞤶𞤢𞥄𞤦𞤢𞤱𞤮𞤤
jaɓataa	𞤶𞤢𞤩𞤢𞤼𞤢𞥄
jaɓɓe	𞤶𞤢𞤩𞥆𞤫
jeyaa	𞤶𞤫𞤴𞤢𞥄
jibinde	𞤶𞤭𞤦𞤭𞤲'𞤣𞤫
jogiindi	𞤶𞤮𞤺𞤭𞥅𞤲'𞤣𞤭
jojjaani	𞤶𞤮𞤶𞥆𞤢𞥄𞤲𞤭
jojjanɗe	𞤶𞤮𞤶𞥆𞤢𞤲𞤯𞤫
joom	𞤶𞤮𞥅𞤥
jooɗanii	𞤶𞤮𞥅𞤯𞤢𞤲𞤭𞥅
joɓel	𞤶𞤮𞤩𞤫𞤤
joɓel!	𞤶𞤮𞤩𞤫𞤤!
junngu	𞤶𞤵𞤲𞤺𞤵
kaalda	𞤳𞤢𞥄𞤤𞤣𞤢
kaalden	𞤳𞤢𞥄𞤤𞤣𞤫𞤲
kaantoriɗɗe	𞤳𞤢𞥄𞤲𞤼𞤮𞤪𞤭𞤯𞥆𞤫
kaaɗoo	𞤳𞤢𞥄𞤯𞤮𞥅
kadi	𞤳𞤢𞤣𞤭
kala	𞤳𞤢𞤤𞤢
kam	𞤳𞤢𞤥
kanko	𞤳𞤢𞤲𞤳𞤮
kay	𞤳𞤢𞤴
kañum	𞤳𞤢𞤻𞤵𞤥
kaɗa	𞤳𞤢𞤯𞤢
kaɗat	𞤳𞤢𞤯𞤢𞤼
ko	𞤳𞤮
konngi	𞤳𞤮𞤲𞤺𞤭
konngol	𞤳𞤮𞤲𞤺𞤮𞤤
kono	𞤳𞤮𞤲𞤮
koo	𞤳𞤮𞥅
koolii	𞤳𞤮𞥅𞤤𞤭𞥅
koɗdiiɗo	𞤳𞤮𞤯𞤣𞤭𞥅𞤯𞤮
laamanaaki	𞤤𞤢𞥄𞤥𞤢𞤲𞤢𞥄𞤳𞤭
laamu	𞤤𞤢𞥄𞤥𞤵
laamɓe	𞤤𞤢𞥄𞤥𞤩𞤫
laamɗo	𞤤𞤢𞥄𞤥𞤯𞤮
laawol	𞤤𞤢𞥄𞤱𞤮𞤤
laaɓ	𞤤𞤢𞥄𞤩
leeɓteteengol	𞤤𞤫𞥅𞤩𞤼𞤫𞤼𞤫𞥅𞤲'𞤺𞤮𞤤
lefol	𞤤𞤫𞤬𞤮𞤤
leydi	𞤤𞤫𞤴𞤣𞤭
leyɗeele	𞤤𞤫𞤴𞤯𞤫𞥅𞤤𞤫
leñol	𞤤𞤫𞤻𞤮𞤤
liggododirtoo	𞤤𞤭𞤺𞥆𞤮𞤣𞤮𞤣𞤭𞤪𞤼𞤮𞥅
lijitana	𞤤𞤭𞤶𞤭𞤼𞤢𞤲𞤢
lowre	𞤤𞤮𞤱𞤪𞤫
ma	𞤥𞤢
maa	𞤥𞤢𞥄
makko	𞤥𞤢𞤳𞥆𞤮
mars	𞤥𞤢𞤪𞤧
maslahaa	𞤥𞤢𞤧𞤤𞤢𞤸𞤢𞥄
mawngo	𞤥𞤢𞤱𞤲'𞤺𞤮
mawɓe	𞤥𞤢𞤱𞤩𞤫
mawɗo	𞤥𞤢𞤱𞤯𞤮
mayre	𞤥𞤢𞤴𞤪𞤫
maɓɓe	𞤥𞤢𞤩𞥆𞤫
mbaaw-ɗen	𞤲'𞤦𞤢𞥄𞤱-𞤯𞤫𞤲
mbaɗaama	𞤲'𞤦𞤢𞤯𞤢𞥄𞤥𞤢
mbaɗata	𞤲'𞤦𞤢𞤯𞤢𞤼𞤢
mbedda	𞤲'𞤦𞤫𞤣𞥆𞤢
mbelaa	𞤲'𞤦𞤫𞤤𞤢𞥄
mbele	𞤲'𞤦𞤫𞤤𞤫
mbiy-ɗen	𞤲'𞤦𞤭𞤴-𞤯𞤫𞤲
mbiyen	𞤲'𞤦𞤭𞤴𞤫𞤲
memaa	𞤥𞤫𞤥𞤢𞥄
memaama	𞤥𞤫𞤥𞤢𞥄𞤥𞤢
men	𞤥𞤫𞤲
mettaa	𞤥𞤫𞤼𞥆𞤢𞥄
mette	𞤥𞤫𞤼𞥆𞤫
mi	𞤥𞤭
miijo	𞤥𞤭𞥅𞤶𞤮
miin	𞤥𞤭𞥅𞤲
mo	𞤥𞤮
moƴƴi	𞤥𞤮𞤰𞥆𞤭
moƴƴol	𞤥𞤮𞤰𞥆𞤮𞤤
mum	𞤥𞤵𞤥
mumen	𞤥𞤵𞤥𞤫𞤲
naamnal	𞤲𞤢𞥄𞤥𞤲𞤢𞤤
nafaani	𞤲𞤢𞤬𞤢𞥄𞤲𞤭
nanaama	𞤲𞤢𞤲𞤢𞥄𞤥𞤢
nanaani	𞤲𞤢𞤲𞤢𞥄𞤲𞤭
nanete	𞤲𞤢𞤲𞤫𞤼𞤫
nani	𞤲𞤢𞤲𞤭
nanndo	𞤲𞤢𞤲𞤣𞤮
nawori	𞤲𞤢𞤱𞤮𞤪𞤭
nde	𞤲'𞤣𞤫
ndee	𞤲'𞤣𞤫𞥅
ndeena	𞤲'𞤣𞤫𞥅𞤲𞤢
nder	𞤲'𞤣𞤫𞤪
ndi	𞤲'𞤣𞤭
ndii	𞤲'𞤣𞤭𞥅
ndimaagu	𞤲'𞤣𞤭𞤥𞤢𞥄𞤺𞤵
ndimɗundi	𞤲'𞤣𞤭𞤥𞤯𞤵𞤲'𞤣𞤭
ne	𞤲𞤫
neɗɗo	𞤲𞤫𞤯𞥆𞤮
ngal	𞤲'𞤺𞤢𞤤
nganndi	𞤲'𞤺𞤢𞤲𞤣𞤭
nganndinen	𞤲'𞤺𞤢𞤲𞤣𞤭𞤲𞤫𞤲
ngarta	𞤲'𞤺𞤢𞤪𞤼𞤢
ngarten	𞤲'𞤺𞤢𞤪𞤼𞤫𞤲
ngartu	𞤲'𞤺𞤢𞤪𞤼𞤵
ngo	𞤲'𞤺𞤮
ngol	𞤲'𞤺𞤮𞤤
ngol»	𞤲'𞤺𞤮𞤤»
ngondi	𞤲'𞤺𞤮𞤲'𞤣𞤭
ngoo	𞤲'𞤺𞤮𞥅
ngootiri	𞤲'𞤺𞤮𞥅𞤼𞤭𞤪𞤭
ngostondirii	𞤲'𞤺𞤮𞤧𞤼𞤮𞤲'𞤣𞤭𞤪𞤭𞥅
ngoɗndi	𞤲'𞤺𞤮𞤯𞤲'𞤣𞤭
ngu	𞤲'𞤺𞤵
ngullitoyo-ɗaa	𞤲'𞤺𞤵𞤤𞥆𞤭𞤼𞤮𞤴𞤮-𞤯𞤢𞥄
ngummiima	𞤲'𞤺𞤵𞤥𞥆𞤭𞥅𞤥𞤢
nii	𞤲𞤭𞥅
njaakorii	𞤲'𞤶𞤢𞥄𞤳𞤮𞤪𞤭𞥅
njenna	𞤲'𞤶𞤫𞤲𞥆𞤢
njerondirii	𞤲'𞤶𞤫𞤪𞤮𞤲'𞤣𞤭𞤪𞤭𞥅
njiyii	𞤲'𞤶𞤭𞤴𞤭𞥅
njogiindi	𞤲'𞤶𞤮𞤺𞤭𞥅𞤲'𞤣𞤭
njuɓɓinnoo	𞤲'𞤶𞤵𞤩𞥆𞤭𞤲𞥆𞤮𞥅
no	𞤲𞤮
noon	𞤲𞤮𞥅𞤲
o	𞤮
omo	𞤮𞤥𞤮
onon	𞤮𞤲𞤮𞤲
oo	𞤮𞥅
oya	𞤮𞤴𞤢
paabo-ɗaa	𞤨𞤢𞥄𞤦𞤮-𞤯𞤢𞥄
paaboro-ɗaa	𞤨𞤢𞥄𞤦𞤮𞤪𞤮-𞤯𞤢𞥄
paho	𞤨𞤢𞤸𞤮
pot-ɗen	𞤨𞤮𞤼-𞤯𞤫𞤲
potno-ɗen	𞤨𞤮𞤼𞤲𞤮-𞤯𞤫𞤲
pullo	𞤨𞤵𞤤𞥆𞤮
reedu	𞤪𞤫𞥅𞤣𞤵
rewo	𞤪𞤫𞤱𞤮
rokkiino	𞤪𞤮𞤳𞥆𞤭𞥅𞤲𞤮
ronkii	𞤪𞤮𞤲𞤳𞤭𞥅
saabinoo	𞤧𞤢𞥄𞤦𞤭𞤲𞤮𞥅
saaktiima	𞤧𞤢𞥄𞤳𞤼𞤭𞥅𞤥𞤢
sabu	𞤧𞤢𞤦𞤵
saka	𞤧𞤢𞤳𞤢
seppo	𞤧𞤫𞤨𞥆𞤮
sete	𞤧𞤫𞤼𞤫
siftina	𞤧𞤭𞤬𞤼𞤭𞤲𞤢
siftinde	𞤧𞤭𞤬𞤼𞤭𞤲'𞤣𞤫
sikki	𞤧𞤭𞤳𞥆𞤭
sinno	𞤧𞤭𞤲𞥆𞤮
so	𞤧𞤮
sukaaɓe	𞤧𞤵𞤳𞤢𞥄𞤩𞤫
suɓngo	𞤧𞤵𞤩𞤲'𞤺𞤮
tabitinii	𞤼𞤢𞤦𞤭𞤼𞤭𞤲𞤭𞥅
tan	𞤼𞤢𞤲
taw	𞤼𞤢𞤱
tawa	𞤼𞤢𞤱𞤢
tawde	𞤼𞤢𞤱𞤣𞤫
tawi	𞤼𞤢𞤱𞤭
tawii	𞤼𞤢𞤱𞤭𞥅
tee	𞤼𞤫𞥅
teski-ɗen	𞤼𞤫𞤧𞤳𞤭-𞤯𞤫𞤲
tiitoonde	𞤼𞤭𞥅𞤼𞤮𞥅𞤲'𞤣𞤫
to	𞤼𞤮
tolnondiri	𞤼𞤮𞤤𞤲𞤮𞤲'𞤣𞤭𞤪𞤭
toowde	𞤼𞤮𞥅𞤱𞤣𞤫
tooñannge	𞤼𞤮𞥅𞤻𞤢𞤲𞤺𞤫
totti	𞤼𞤮𞤼𞥆𞤭
tuugniima	𞤼𞤵𞥅𞤻𞤭𞥅𞤥𞤢
tuƴƴii	𞤼𞤵𞤰𞥆𞤭𞥅
waajoo	𞤱𞤢𞥄𞤶𞤮𞥅
waajotaako	𞤱𞤢𞥄𞤶𞤮𞤼𞤢𞥄𞤳𞤮
waajotoo	𞤱𞤢𞥄𞤶𞤮𞤼𞤮𞥅
waaju	𞤱𞤢𞥄𞤶𞤵
waawaa	𞤱𞤢𞥄𞤱𞤢𞥄
waawanaa	𞤱𞤢𞥄𞤱𞤢𞤲𞤢𞥄
waawi	𞤱𞤢𞥄𞤱𞤭
walla	𞤱𞤢𞤤𞥆𞤢
wayi	𞤱𞤢𞤴𞤭
waɗatee	𞤱𞤢𞤯𞤢𞤼𞤫𞥅
waɗdde	𞤱𞤢𞤯𞤣𞥆𞤫
waɗde	𞤱𞤢𞤯𞤣𞤫
waɗee	𞤱𞤢𞤯𞤫𞥅
waɗi	𞤱𞤢𞤯𞤭
waɗii	𞤱𞤢𞤯𞤭𞥅
waɗngo	𞤱𞤢𞤯𞤲'𞤺𞤮
weejii	𞤱𞤫𞥅𞤶𞤭𞥅
welaaka	𞤱𞤫𞤤𞤢𞥄𞤳𞤢
wiya	𞤱𞤭𞤴𞤢
wiyata	𞤱𞤭𞤴𞤢𞤼𞤢
wiyde	𞤱𞤭𞤴𞤣𞤫
wiyee	𞤱𞤭𞤴𞤫𞥅
wiyi	𞤱𞤭𞤴𞤭
wiynoo	𞤱𞤭𞤴𞤲𞤮𞥅
won	𞤱𞤮𞤲
wonaa	𞤱𞤮𞤲𞤢𞥄
wonde	𞤱𞤮𞤲'𞤣𞤫
woni	𞤱𞤮𞤲𞤭
woodaani	𞤱𞤮𞥅𞤣𞤢𞥄𞤲𞤭
woodan	𞤱𞤮𞥅𞤣𞤢𞤲
woodi	𞤱𞤮𞥅𞤣𞤭
wooto	𞤱𞤮𞥅𞤼𞤮
worgo	𞤱𞤮𞤪𞤺𞤮
woto	𞤱𞤮𞤼𞤮
wulaango	𞤱𞤵𞤤𞤢𞥄𞤲'𞤺𞤮
wulla	𞤱𞤵𞤤𞥆𞤢
yaltina	𞤴𞤢𞤤𞤼𞤭𞤲𞤢
yaltude	𞤴𞤢𞤤𞤼𞤵𞤣𞤫
yeeso	𞤴𞤫𞥅𞤧𞤮
yenna	𞤴𞤫𞤲𞥆𞤢
yettee	𞤴𞤫𞤼𞥆𞤫𞥅
yimɓe	𞤴𞤭𞤥𞤩𞤫
yiyi	𞤴𞤭𞤴𞤭
yiyii	𞤴𞤭𞤴𞤭𞥅
yontii	𞤴𞤮𞤲𞤼𞤭𞥅
yoo	𞤴𞤮𞥅
yooɓaade	𞤴𞤮𞥅𞤩𞤢𞥄𞤣𞤫
yowitii	𞤴𞤮𞤱𞤭𞤼𞤭𞥅
yoɓtoraade	𞤴𞤮𞤩𞤼𞤮𞤪𞤢𞥄𞤣𞤫
«	«
«Ibiraahiima	«𞤋𞤦𞤭𞤪𞤢𞥄𞤸𞤭𞥅𞤥𞤢
»	»
Ñalnde	𞤙𞤢𞤤𞤲'𞤣𞤫
ñaago-ɗen	𞤻𞤢𞥄𞤺𞤮-𞤯𞤫𞤲
ñaayde	𞤻𞤢𞥄𞤴𞤣𞤫
ñamlel	𞤻𞤢𞤥𞤤𞤫𞤤
Ɗalee	𞤍𞤢𞤤𞤫𞥅
ɓalndu	𞤩𞤢𞤤𞤲'𞤣𞤵
ɓe	𞤩𞤫
ɓernde	𞤩𞤫𞤪𞤲'𞤣𞤫
ɓesngu	𞤩𞤫𞤧𞤲'𞤺𞤵
ɓuri	𞤩𞤵𞤪𞤭
ɗalii	𞤯𞤢𞤤𞤭𞥅
ɗe	𞤯𞤫
ɗemngal	𞤯𞤫𞤥𞤲'𞤺𞤢𞤤
ɗi	𞤯𞤭
ɗiin	𞤯𞤭𞥅𞤲
ɗo	𞤯𞤮
ɗum	𞤯𞤵𞤥
ɗuum	𞤯𞤵𞥅𞤥
ɗuurnaade	𞤯𞤵𞥅𞤪𞤲𞤢𞥄𞤣𞤫
“Maa	“𞤃𞤢𞥄
